timestamp,open,high,low,close,volume
2025-10-27 13:25:00+05:30,74.34,74.34,74.32,74.34,37821
2025-10-27 13:30:00+05:30,74.34,74.39,74.3,74.35,50395
2025-10-27 13:35:00+05:30,74.35,74.35,74.29,74.35,42548
2025-10-27 13:40:00+05:30,74.35,74.38,74.33,74.37,32994
2025-10-27 13:45:00+05:30,74.35,74.37,74.3,74.34,22475
2025-10-27 13:50:00+05:30,74.34,74.5,74.31,74.47,209782
2025-10-27 13:55:00+05:30,74.46,74.46,74.4,74.43,38992
2025-10-27 14:00:00+05:30,74.43,74.44,74.36,74.41,22319
2025-10-27 14:05:00+05:30,74.41,74.44,74.36,74.39,21875
2025-10-27 14:10:00+05:30,74.39,74.44,74.36,74.38,76735
2025-10-27 14:15:00+05:30,74.4,74.43,74.28,74.41,104720
2025-10-27 14:20:00+05:30,74.43,74.43,74.38,74.41,41539
2025-10-27 14:25:00+05:30,74.4,74.43,74.35,74.42,64284
2025-10-27 14:30:00+05:30,74.42,74.46,74.4,74.45,89636
2025-10-27 14:35:00+05:30,74.44,74.45,74.4,74.42,20335
2025-10-27 14:40:00+05:30,74.43,74.45,74.39,74.43,64073
2025-10-27 14:45:00+05:30,74.43,74.46,74.38,74.39,66908
2025-10-27 14:50:00+05:30,74.39,74.44,74.38,74.41,42938
2025-10-27 14:55:00+05:30,74.41,74.43,74.38,74.42,35491
2025-10-27 15:00:00+05:30,74.42,74.45,74.4,74.44,94666
2025-10-27 15:05:00+05:30,74.43,74.46,74.43,74.44,114690
2025-10-27 15:10:00+05:30,74.44,74.46,74.34,74.38,232925
2025-10-27 15:15:00+05:30,74.38,74.39,74.26,74.35,426776
2025-10-27 15:20:00+05:30,74.34,74.36,74.31,74.36,422890
2025-10-27 15:25:00+05:30,74.35,74.48,74.3,74.43,554830
2025-10-28 09:15:00+05:30,74.22,74.61,74.22,74.44,629679
2025-10-28 09:20:00+05:30,74.43,74.48,74.2,74.25,279747
2025-10-28 09:25:00+05:30,74.24,74.32,74.2,74.32,151326
2025-10-28 09:30:00+05:30,74.28,74.5,74.28,74.43,136409
2025-10-28 09:35:00+05:30,74.44,74.44,74.31,74.31,121547
2025-10-28 09:40:00+05:30,74.35,74.37,74.26,74.34,138286
2025-10-28 09:45:00+05:30,74.34,74.58,74.29,74.58,345745
2025-10-28 09:50:00+05:30,74.57,74.7,74.53,74.62,479898
2025-10-28 09:55:00+05:30,74.6,74.73,74.54,74.66,183833
2025-10-28 10:00:00+05:30,74.67,75.0,74.61,74.61,521044
2025-10-28 10:05:00+05:30,74.65,74.67,74.52,74.56,114059
2025-10-28 10:10:00+05:30,74.56,74.58,74.44,74.58,84221
2025-10-28 10:15:00+05:30,74.55,74.55,74.41,74.49,120253
2025-10-28 10:20:00+05:30,74.49,74.5,74.44,74.5,56003
2025-10-28 10:25:00+05:30,74.5,74.8,74.5,74.77,103307
2025-10-28 10:30:00+05:30,74.77,74.77,74.64,74.64,100791
2025-10-28 10:35:00+05:30,74.65,74.65,74.52,74.52,59687
2025-10-28 10:40:00+05:30,74.52,74.62,74.5,74.58,73949
2025-10-28 10:45:00+05:30,74.59,74.73,74.53,74.55,81550
2025-10-28 10:50:00+05:30,74.58,74.59,74.46,74.51,93829
2025-10-28 10:55:00+05:30,74.5,74.54,74.44,74.49,49394
2025-10-28 11:00:00+05:30,74.48,74.62,74.42,74.49,99793
2025-10-28 11:05:00+05:30,74.49,74.55,74.42,74.47,93537
2025-10-28 11:10:00+05:30,74.5,74.53,74.45,74.49,29970
2025-10-28 11:15:00+05:30,74.5,74.67,74.48,74.63,69233
2025-10-28 11:20:00+05:30,74.61,74.69,74.54,74.68,56590
2025-10-28 11:25:00+05:30,74.69,74.7,74.57,74.57,25364
2025-10-28 11:30:00+05:30,74.58,74.74,74.57,74.64,65449
2025-10-28 11:35:00+05:30,74.63,74.78,74.6,74.69,106170
2025-10-28 11:40:00+05:30,74.69,74.72,74.61,74.61,47110
2025-10-28 11:45:00+05:30,74.62,74.67,74.61,74.65,28357
2025-10-28 11:50:00+05:30,74.67,74.67,74.6,74.64,38806
2025-10-28 11:55:00+05:30,74.63,74.69,74.62,74.63,55578
2025-10-28 12:00:00+05:30,74.65,74.71,74.62,74.68,47991
2025-10-28 12:05:00+05:30,74.67,74.73,74.6,74.69,373082
2025-10-28 12:10:00+05:30,74.69,74.81,74.67,74.8,240274
2025-10-28 12:15:00+05:30,74.8,74.8,74.66,74.66,61041
2025-10-28 12:20:00+05:30,74.68,74.74,74.64,74.67,59201
2025-10-28 12:25:00+05:30,74.68,74.77,74.65,74.75,78438
2025-10-28 12:30:00+05:30,74.72,74.75,74.6,74.65,96479
2025-10-28 12:35:00+05:30,74.65,74.73,74.62,74.68,62095
2025-10-28 12:40:00+05:30,74.69,74.79,74.68,74.76,105308
2025-10-28 12:45:00+05:30,74.77,74.84,74.72,74.72,168263
2025-10-28 12:50:00+05:30,74.73,74.88,74.71,74.82,113513
2025-10-28 12:55:00+05:30,74.82,74.88,74.77,74.79,55178
2025-10-28 13:00:00+05:30,74.79,74.83,74.74,74.75,52893
2025-10-28 13:05:00+05:30,74.76,74.82,74.72,74.72,64184
2025-10-28 13:10:00+05:30,74.73,74.77,74.68,74.69,112029
2025-10-28 13:15:00+05:30,74.69,74.72,74.68,74.68,26610
2025-10-28 13:20:00+05:30,74.69,74.71,74.66,74.71,24940
2025-10-28 13:25:00+05:30,74.71,74.74,74.66,74.69,34583
2025-10-28 13:30:00+05:30,74.69,74.74,74.65,74.71,28177
2025-10-28 13:35:00+05:30,74.72,74.8,74.71,74.71,81377
2025-10-28 13:40:00+05:30,74.71,74.72,74.55,74.55,186505
2025-10-28 13:45:00+05:30,74.56,74.72,74.53,74.63,106274
2025-10-28 13:50:00+05:30,74.65,74.7,74.6,74.6,28248
2025-10-28 13:55:00+05:30,74.61,74.66,74.57,74.62,32221
2025-10-28 14:00:00+05:30,74.6,74.64,74.55,74.56,27888
2025-10-28 14:05:00+05:30,74.56,74.59,74.53,74.55,44704
2025-10-28 14:10:00+05:30,74.53,74.64,74.53,74.6,81264
2025-10-28 14:15:00+05:30,74.6,74.6,74.45,74.5,152930
2025-10-28 14:20:00+05:30,74.5,74.56,74.5,74.5,39405
2025-10-28 14:25:00+05:30,74.52,74.53,74.46,74.5,43478
2025-10-28 14:30:00+05:30,74.5,74.53,74.45,74.48,86251
2025-10-28 14:35:00+05:30,74.46,74.46,74.38,74.4,113687
2025-10-28 14:40:00+05:30,74.38,74.42,74.31,74.33,94650
2025-10-28 14:45:00+05:30,74.34,74.49,74.34,74.4,75965
2025-10-28 14:50:00+05:30,74.4,74.41,74.33,74.37,41322
2025-10-28 14:55:00+05:30,74.37,74.45,74.35,74.43,118886
2025-10-28 15:00:00+05:30,74.41,74.68,74.41,74.66,425772
2025-10-28 15:05:00+05:30,74.65,74.71,74.64,74.69,261342
2025-10-28 15:10:00+05:30,74.68,74.7,74.61,74.68,313554
2025-10-28 15:15:00+05:30,74.66,74.7,74.6,74.61,263154
2025-10-28 15:20:00+05:30,74.6,74.66,74.57,74.6,299923
2025-10-28 15:25:00+05:30,74.61,74.68,74.6,74.61,348599
2025-10-29 09:15:00+05:30,75.25,75.46,74.67,75.27,1280454
2025-10-29 09:20:00+05:30,75.27,75.75,75.18,75.57,1914143
2025-10-29 09:25:00+05:30,75.57,76.0,75.52,75.95,979293
2025-10-29 09:30:00+05:30,75.94,76.15,75.76,76.09,1361197
2025-10-29 09:35:00+05:30,76.07,76.28,76.0,76.25,1035751
2025-10-29 09:40:00+05:30,76.25,76.39,76.08,76.23,1249974
2025-10-29 09:45:00+05:30,76.23,76.55,76.1,76.4,2076585
2025-10-29 09:50:00+05:30,76.39,76.53,76.03,76.21,773719
2025-10-29 09:55:00+05:30,76.21,76.59,76.1,76.44,846917
2025-10-29 10:00:00+05:30,76.44,76.55,76.35,76.5,577189
2025-10-29 10:05:00+05:30,76.5,76.9,76.5,76.78,1434134
2025-10-29 10:10:00+05:30,76.78,76.9,76.58,76.68,710729
2025-10-29 10:15:00+05:30,76.67,76.85,76.51,76.56,377257
2025-10-29 10:20:00+05:30,76.56,76.72,76.54,76.56,240986
2025-10-29 10:25:00+05:30,76.56,76.63,76.51,76.63,218173
2025-10-29 10:30:00+05:30,76.63,76.8,76.61,76.72,313239
2025-10-29 10:35:00+05:30,76.72,76.84,76.65,76.73,288266
2025-10-29 10:40:00+05:30,76.77,76.95,76.73,76.9,915917
2025-10-29 10:45:00+05:30,76.9,77.0,76.81,76.85,508242
2025-10-29 10:50:00+05:30,76.85,76.86,76.64,76.7,359033
2025-10-29 10:55:00+05:30,76.74,76.8,76.31,76.35,1315080
2025-10-29 11:00:00+05:30,76.35,76.5,76.34,76.45,196743
2025-10-29 11:05:00+05:30,76.43,76.55,76.33,76.4,291914
2025-10-29 11:10:00+05:30,76.39,76.4,76.11,76.17,358436
2025-10-29 11:15:00+05:30,76.17,76.25,76.02,76.09,249010
2025-10-29 11:20:00+05:30,76.13,76.17,76.03,76.12,180592
2025-10-29 11:25:00+05:30,76.12,76.46,76.06,76.32,376219
2025-10-29 11:30:00+05:30,76.33,76.45,76.3,76.43,88738
2025-10-29 11:35:00+05:30,76.43,76.43,76.35,76.4,95643
2025-10-29 11:40:00+05:30,76.41,76.46,76.31,76.36,106825
2025-10-29 11:45:00+05:30,76.36,76.43,76.31,76.4,93480
2025-10-29 11:50:00+05:30,76.39,76.44,76.36,76.43,61490
2025-10-29 11:55:00+05:30,76.43,76.49,76.42,76.47,88670
2025-10-29 12:00:00+05:30,76.49,76.49,76.42,76.46,71625
2025-10-29 12:05:00+05:30,76.46,76.48,76.36,76.4,125022
2025-10-29 12:10:00+05:30,76.4,76.4,76.35,76.4,42412
2025-10-29 12:15:00+05:30,76.4,76.59,76.39,76.57,293616
2025-10-29 12:20:00+05:30,76.57,76.65,76.56,76.62,123873
2025-10-29 12:25:00+05:30,76.63,76.65,76.57,76.57,101404
2025-10-29 12:30:00+05:30,76.6,76.64,76.48,76.58,148944
2025-10-29 12:35:00+05:30,76.58,76.77,76.54,76.76,172351
2025-10-29 12:40:00+05:30,76.75,76.79,76.67,76.73,249272
2025-10-29 12:45:00+05:30,76.74,76.78,76.64,76.67,140680
2025-10-29 12:50:00+05:30,76.67,76.67,76.58,76.62,70194
2025-10-29 12:55:00+05:30,76.66,76.69,76.6,76.65,40806
2025-10-29 13:00:00+05:30,76.67,76.73,76.61,76.71,50720
2025-10-29 13:05:00+05:30,76.7,76.73,76.62,76.65,73992
2025-10-29 13:10:00+05:30,76.68,76.75,76.58,76.66,140018
2025-10-29 13:15:00+05:30,76.66,76.75,76.63,76.73,61562
2025-10-29 13:20:00+05:30,76.73,76.75,76.65,76.72,98569
2025-10-29 13:25:00+05:30,76.72,76.74,76.61,76.7,46026
2025-10-29 13:30:00+05:30,76.69,76.71,76.65,76.7,77877
2025-10-29 13:35:00+05:30,76.7,76.9,76.65,76.89,272039
2025-10-29 13:40:00+05:30,76.9,76.98,76.85,76.91,355668
2025-10-29 13:45:00+05:30,76.86,76.92,76.82,76.89,172760
2025-10-29 13:50:00+05:30,76.89,76.97,76.88,76.94,313201
2025-10-29 13:55:00+05:30,76.95,77.15,76.69,76.84,2264602
2025-10-29 14:00:00+05:30,76.84,77.2,76.75,77.1,1521540
2025-10-29 14:05:00+05:30,77.1,77.19,77.06,77.15,600899
2025-10-29 14:10:00+05:30,77.15,77.62,77.12,77.47,1981413
2025-10-29 14:15:00+05:30,77.47,77.49,77.21,77.3,940952
2025-10-29 14:20:00+05:30,77.32,77.4,77.19,77.4,532327
2025-10-29 14:25:00+05:30,77.39,77.56,77.31,77.52,552731
2025-10-29 14:30:00+05:30,77.55,77.65,77.37,77.38,572689
2025-10-29 14:35:00+05:30,77.38,77.43,77.26,77.29,470108
2025-10-29 14:40:00+05:30,77.3,77.3,77.08,77.13,416507
2025-10-29 14:45:00+05:30,77.13,77.2,77.04,77.12,315710
2025-10-29 14:50:00+05:30,77.12,77.27,77.08,77.2,447609
2025-10-29 14:55:00+05:30,77.19,77.21,77.1,77.16,326167
2025-10-29 15:00:00+05:30,77.17,77.22,76.85,76.85,746481
2025-10-29 15:05:00+05:30,76.89,76.94,76.75,76.79,472746
2025-10-29 15:10:00+05:30,76.78,76.81,76.56,76.57,375103
2025-10-29 15:15:00+05:30,76.57,76.68,76.5,76.6,1060009
2025-10-29 15:20:00+05:30,76.6,76.65,76.5,76.64,965518
2025-10-29 15:25:00+05:30,76.67,76.75,76.58,76.65,629431
2025-10-30 09:15:00+05:30,76.46,76.82,76.05,76.71,1331291
2025-10-30 09:20:00+05:30,76.7,77.1,76.65,77.09,818120
2025-10-30 09:25:00+05:30,77.0,77.04,76.78,76.85,337483
2025-10-30 09:30:00+05:30,76.83,76.89,76.21,76.3,570556
2025-10-30 09:35:00+05:30,76.3,76.37,76.17,76.32,337812
2025-10-30 09:40:00+05:30,76.3,76.35,76.11,76.22,385046
2025-10-30 09:45:00+05:30,76.22,76.37,76.15,76.34,163079
2025-10-30 09:50:00+05:30,76.35,76.37,76.0,76.03,268755
2025-10-30 09:55:00+05:30,76.0,76.04,75.9,75.95,290591
2025-10-30 10:00:00+05:30,75.94,76.09,75.9,76.0,311280
2025-10-30 10:05:00+05:30,76.02,76.2,76.0,76.02,117600
2025-10-30 10:10:00+05:30,76.02,76.14,76.01,76.12,90345
2025-10-30 10:15:00+05:30,76.12,76.25,76.02,76.02,133130
2025-10-30 10:20:00+05:30,76.05,76.16,76.02,76.08,39733
2025-10-30 10:25:00+05:30,76.08,76.13,75.98,75.98,185713
2025-10-30 10:30:00+05:30,76.0,76.18,75.95,75.97,220343
2025-10-30 10:35:00+05:30,75.96,76.07,75.91,76.01,137663
2025-10-30 10:40:00+05:30,76.02,76.04,75.81,75.85,176342
2025-10-30 10:45:00+05:30,75.86,75.91,75.76,75.8,138713
2025-10-30 10:50:00+05:30,75.77,75.95,75.75,75.92,102511
2025-10-30 10:55:00+05:30,75.92,76.0,75.9,75.93,70604
2025-10-30 11:00:00+05:30,75.94,76.08,75.9,76.0,126401
2025-10-30 11:05:00+05:30,76.01,76.07,75.96,76.02,49966
2025-10-30 11:10:00+05:30,76.04,76.09,76.02,76.07,46882
2025-10-30 11:15:00+05:30,76.08,76.15,76.03,76.07,100657
2025-10-30 11:20:00+05:30,76.09,76.16,76.04,76.08,60846
2025-10-30 11:25:00+05:30,76.09,76.1,76.01,76.05,39004
2025-10-30 11:30:00+05:30,76.06,76.1,76.01,76.04,42388
2025-10-30 11:35:00+05:30,76.05,76.09,76.01,76.05,37341
2025-10-30 11:40:00+05:30,76.04,76.08,76.01,76.03,24065
2025-10-30 11:45:00+05:30,76.04,76.09,75.92,75.95,188738
2025-10-30 11:50:00+05:30,75.95,76.05,75.83,75.85,260553
2025-10-30 11:55:00+05:30,75.85,75.93,75.81,75.86,79305
2025-10-30 12:00:00+05:30,75.87,75.97,75.87,75.96,12912
2025-10-30 12:05:00+05:30,75.96,75.99,75.87,75.94,59980
2025-10-30 12:10:00+05:30,75.93,75.98,75.89,75.96,42694
2025-10-30 12:15:00+05:30,75.95,76.0,75.9,75.93,45656
2025-10-30 12:20:00+05:30,75.92,76.18,75.91,76.16,245979
2025-10-30 12:25:00+05:30,76.13,76.17,76.01,76.01,42170
2025-10-30 12:30:00+05:30,76.02,76.07,75.95,75.97,83853
2025-10-30 12:35:00+05:30,75.98,76.1,75.96,76.07,23710
2025-10-30 12:40:00+05:30,76.07,76.1,76.0,76.0,27441
2025-10-30 12:45:00+05:30,76.0,76.09,75.98,76.01,58318
2025-10-30 12:50:00+05:30,76.03,76.07,75.96,75.98,94107
2025-10-30 12:55:00+05:30,75.98,76.04,75.95,75.98,20062
2025-10-30 13:00:00+05:30,75.98,76.0,75.94,75.96,19493
2025-10-30 13:05:00+05:30,75.97,75.97,75.83,75.86,82988
2025-10-30 13:10:00+05:30,75.87,75.98,75.85,75.96,44456
2025-10-30 13:15:00+05:30,75.96,75.97,75.85,75.9,37946
2025-10-30 13:20:00+05:30,75.91,75.95,75.89,75.93,34774
2025-10-30 13:25:00+05:30,75.91,75.95,75.9,75.9,38927
2025-10-30 13:30:00+05:30,75.91,75.91,75.66,75.74,286575
2025-10-30 13:35:00+05:30,75.74,75.75,75.61,75.69,82587
2025-10-30 13:40:00+05:30,75.69,75.77,75.68,75.7,38599
2025-10-30 13:45:00+05:30,75.71,75.75,75.66,75.69,28516
2025-10-30 13:50:00+05:30,75.68,75.75,75.65,75.71,30418
2025-10-30 13:55:00+05:30,75.72,75.74,75.65,75.7,56755
2025-10-30 14:00:00+05:30,75.72,75.77,75.7,75.73,52536
2025-10-30 14:05:00+05:30,75.74,75.75,75.62,75.68,93342
2025-10-30 14:10:00+05:30,75.66,75.72,75.65,75.72,46070
2025-10-30 14:15:00+05:30,75.7,75.87,75.7,75.85,79610
2025-10-30 14:20:00+05:30,75.86,75.99,75.85,75.92,101641
2025-10-30 14:25:00+05:30,75.91,75.92,75.81,75.85,31002
2025-10-30 14:30:00+05:30,75.85,75.92,75.82,75.86,44673
2025-10-30 14:35:00+05:30,75.84,75.9,75.83,75.86,96838
2025-10-30 14:40:00+05:30,75.86,76.03,75.85,75.92,248101
2025-10-30 14:45:00+05:30,75.94,75.97,75.85,75.89,110220
2025-10-30 14:50:00+05:30,75.9,75.91,75.81,75.81,105300
2025-10-30 14:55:00+05:30,75.81,75.84,75.72,75.79,140359
2025-10-30 15:00:00+05:30,75.78,75.9,75.78,75.87,209896
2025-10-30 15:05:00+05:30,75.87,75.88,75.81,75.83,135173
2025-10-30 15:10:00+05:30,75.83,75.88,75.8,75.87,271955
2025-10-30 15:15:00+05:30,75.87,75.93,75.84,75.9,415243
2025-10-30 15:20:00+05:30,75.9,75.98,75.9,75.96,310333
2025-10-30 15:25:00+05:30,75.97,75.99,75.91,75.96,296005
2025-10-31 09:15:00+05:30,75.55,75.83,75.13,75.5,789564
2025-10-31 09:20:00+05:30,75.5,75.65,75.4,75.56,196097
2025-10-31 09:25:00+05:30,75.54,75.75,75.48,75.57,242619
2025-10-31 09:30:00+05:30,75.62,75.78,75.55,75.68,187262
2025-10-31 09:35:00+05:30,75.67,75.77,75.6,75.64,96890
2025-10-31 09:40:00+05:30,75.64,75.91,75.62,75.88,199249
2025-10-31 09:45:00+05:30,75.86,76.12,75.8,75.93,366069
2025-10-31 09:50:00+05:30,75.96,75.96,75.63,75.66,206694
2025-10-31 09:55:00+05:30,75.66,75.74,75.6,75.61,106220
2025-10-31 10:00:00+05:30,75.62,75.69,75.44,75.47,182074
2025-10-31 10:05:00+05:30,75.46,75.59,75.42,75.48,109541
2025-10-31 10:10:00+05:30,75.48,75.64,75.46,75.51,236437
2025-10-31 10:15:00+05:30,75.5,75.6,75.4,75.56,138916
2025-10-31 10:20:00+05:30,75.6,75.6,75.45,75.47,41362
2025-10-31 10:25:00+05:30,75.47,75.54,75.4,75.5,124731
2025-10-31 10:30:00+05:30,75.51,75.52,75.38,75.44,137076
2025-10-31 10:35:00+05:30,75.44,75.45,75.25,75.28,98817
2025-10-31 10:40:00+05:30,75.27,75.45,75.25,75.45,55257
2025-10-31 10:45:00+05:30,75.42,75.48,75.4,75.47,50263
2025-10-31 10:50:00+05:30,75.46,75.48,75.33,75.39,132748
2025-10-31 10:55:00+05:30,75.35,75.45,75.35,75.39,21056
2025-10-31 11:00:00+05:30,75.39,75.42,75.31,75.4,40067
2025-10-31 11:05:00+05:30,75.41,75.44,75.27,75.33,58376
2025-10-31 11:10:00+05:30,75.33,75.4,75.3,75.4,24679
