timestamp,open,high,low,close,volume
2025-10-24 13:25:00+05:30,9.57,9.6,9.56,9.6,12199502
2025-10-24 13:30:00+05:30,9.59,9.62,9.57,9.61,20413686
2025-10-24 13:35:00+05:30,9.6,9.62,9.58,9.59,11184208
2025-10-24 13:40:00+05:30,9.58,9.61,9.57,9.59,8336967
2025-10-24 13:45:00+05:30,9.59,9.63,9.58,9.6,11292466
2025-10-24 13:50:00+05:30,9.61,9.61,9.56,9.56,12787788
2025-10-24 13:55:00+05:30,9.56,9.59,9.56,9.59,6321896
2025-10-24 14:00:00+05:30,9.58,9.61,9.57,9.6,11687255
2025-10-24 14:05:00+05:30,9.59,9.6,9.57,9.59,4240493
2025-10-24 14:10:00+05:30,9.59,9.6,9.58,9.59,6060104
2025-10-24 14:15:00+05:30,9.59,9.63,9.58,9.62,17276741
2025-10-24 14:20:00+05:30,9.62,9.63,9.61,9.61,6720208
2025-10-24 14:25:00+05:30,9.61,9.63,9.61,9.61,7619469
2025-10-24 14:30:00+05:30,9.61,9.62,9.58,9.59,10696708
2025-10-24 14:35:00+05:30,9.58,9.6,9.58,9.59,6152567
2025-10-24 14:40:00+05:30,9.58,9.6,9.58,9.59,4365996
2025-10-24 14:45:00+05:30,9.59,9.6,9.58,9.59,8431160
2025-10-24 14:50:00+05:30,9.6,9.6,9.56,9.59,12056193
2025-10-24 14:55:00+05:30,9.57,9.6,9.57,9.59,7997578
2025-10-24 15:00:00+05:30,9.59,9.6,9.58,9.59,6311799
2025-10-24 15:05:00+05:30,9.6,9.6,9.59,9.6,9765474
2025-10-24 15:10:00+05:30,9.6,9.64,9.59,9.64,27615002
2025-10-24 15:15:00+05:30,9.63,9.65,9.62,9.63,41887111
2025-10-24 15:20:00+05:30,9.62,9.65,9.62,9.64,37460436
2025-10-24 15:25:00+05:30,9.64,9.65,9.61,9.63,19575853
2025-10-27 09:15:00+05:30,9.62,9.8,9.61,9.77,72648701
2025-10-27 09:20:00+05:30,9.77,9.78,9.61,9.63,48298197
2025-10-27 09:25:00+05:30,9.62,9.71,9.61,9.7,18346749
2025-10-27 09:30:00+05:30,9.7,9.71,9.66,9.68,12749818
2025-10-27 09:35:00+05:30,9.68,9.74,9.66,9.67,18968722
2025-10-27 09:40:00+05:30,9.67,9.69,9.63,9.66,16758683
2025-10-27 09:45:00+05:30,9.67,9.68,9.65,9.68,5484889
2025-10-27 09:50:00+05:30,9.68,9.72,9.66,9.69,16845645
2025-10-27 09:55:00+05:30,9.69,9.69,9.66,9.67,9217688
2025-10-27 10:00:00+05:30,9.68,9.72,9.66,9.67,10283318
2025-10-27 10:05:00+05:30,9.67,9.71,9.67,9.7,11132332
2025-10-27 10:10:00+05:30,9.69,9.7,9.66,9.67,9630879
