timestamp,open,high,low,close,volume
2025-10-27 13:25:00+05:30,719.05,719.2,718.2,718.2,2073
2025-10-27 13:30:00+05:30,718.25,719.1,718.0,718.25,5173
2025-10-27 13:35:00+05:30,718.4,718.85,718.15,718.3,4745
2025-10-27 13:40:00+05:30,718.55,719.15,717.2,718.4,7900
2025-10-27 13:45:00+05:30,718.4,719.25,718.1,718.55,10644
2025-10-27 13:50:00+05:30,718.85,720.3,718.3,719.0,14623
2025-10-27 13:55:00+05:30,719.4,719.45,718.6,718.75,2375
2025-10-27 14:00:00+05:30,718.75,719.2,718.05,718.55,7984
2025-10-27 14:05:00+05:30,718.55,719.2,718.2,718.65,2160
2025-10-27 14:10:00+05:30,719.05,719.35,718.3,718.85,12950
2025-10-27 14:15:00+05:30,718.85,720.0,718.85,719.45,6785
2025-10-27 14:20:00+05:30,719.45,720.3,719.0,719.85,3742
2025-10-27 14:25:00+05:30,719.85,720.75,719.6,719.9,5964
2025-10-27 14:30:00+05:30,719.85,720.55,719.65,720.2,3905
2025-10-27 14:35:00+05:30,720.2,720.55,719.5,719.95,15053
2025-10-27 14:40:00+05:30,719.95,720.4,719.0,719.75,16680
2025-10-27 14:45:00+05:30,719.8,720.2,719.2,719.2,9544
2025-10-27 14:50:00+05:30,719.35,719.9,719.0,719.6,6703
2025-10-27 14:55:00+05:30,719.7,720.75,719.1,720.6,19574
2025-10-27 15:00:00+05:30,720.6,722.0,720.45,722.0,21297
2025-10-27 15:05:00+05:30,721.95,725.0,721.95,724.1,42616
2025-10-27 15:10:00+05:30,724.1,724.1,722.85,723.7,24956
2025-10-27 15:15:00+05:30,723.6,724.0,723.4,723.95,22259
2025-10-27 15:20:00+05:30,723.9,724.3,722.95,724.3,44024
2025-10-27 15:25:00+05:30,724.05,725.0,723.0,723.0,42652
2025-10-28 09:15:00+05:30,720.1,723.55,719.4,719.95,32795
2025-10-28 09:20:00+05:30,719.95,722.3,719.55,721.7,7807
2025-10-28 09:25:00+05:30,721.55,721.55,719.1,719.95,11468
2025-10-28 09:30:00+05:30,719.95,722.25,719.5,721.9,10154
2025-10-28 09:35:00+05:30,721.9,722.25,721.1,721.35,2129
2025-10-28 09:40:00+05:30,721.5,722.0,720.1,721.55,4633
2025-10-28 09:45:00+05:30,721.5,721.75,720.25,720.45,5981
2025-10-28 09:50:00+05:30,720.2,720.2,718.65,719.0,5433
2025-10-28 09:55:00+05:30,718.8,719.7,718.3,719.05,7287
2025-10-28 10:00:00+05:30,718.75,720.3,718.45,719.75,7914
2025-10-28 10:05:00+05:30,719.8,720.1,718.5,719.4,4102
